num,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
1,1.6667,5.5556,6.1111,3.0,4.0,1.5556,4.5556,4.1111,2.1111,4.3333,2.8889,1.3333,1.6667,2.2222
2,3.7778,5.3333,6.2222,4.6667,4.2222,4.7778,5.1111,3.1111,4.2222,4.3333,4.1111,4.0,3.0,3.6667
3,6.1111,6.5556,7.2222,6.0,6.0,4.5556,4.8889,2.4444,4.1111,5.1111,3.2222,5.6667,5.2222,6.4444
4,4.2222,4.3333,5.1111,5.2222,4.2222,5.5556,3.8889,2.3333,5.2222,5.6667,2.2222,6.2222,4.8889,5.1111
5,1.0,6.7778,7.5556,3.0,4.4444,1.1111,3.7778,4.0,3.2222,3.6667,4.0,1.0,1.3333,2.5556
6,5.7778,5.6667,6.0,5.5556,5.3333,4.6667,5.4444,2.7778,5.3333,4.6667,3.4444,5.8889,6.1111,6.4444
7,3.3333,4.5556,7.1111,5.4444,4.4444,5.5556,4.3333,2.6667,4.6667,2.7778,2.4444,4.5556,5.0,4.5556
8,6.3333,4.0,6.1111,6.4444,4.1111,8.1111,3.2222,1.7778,6.1111,3.8889,2.4444,7.7778,5.2222,6.7778
9,3.3333,5.0,6.6667,4.3333,6.5556,3.8889,3.5556,4.4444,1.5556,4.5556,3.8889,3.1111,5.7778,3.3333
10,7.3333,7.6667,7.4444,6.3333,6.0,6.2222,5.7778,3.2222,7.0,6.0,4.4444,6.2222,6.6667,7.8889
11,6.7778,6.7778,6.6667,5.3333,5.1111,7.1111,5.1111,2.0,6.0,4.3333,1.7778,6.2222,6.5556,7.6667
12,5.6667,5.2222,6.0,6.2222,5.0,7.0,6.2222,1.3333,6.2222,7.1111,1.3333,6.4444,5.2222,6.6667
13,8.0,6.8889,7.0,6.6667,7.1111,8.1111,4.5556,2.1111,7.2222,4.8889,1.4444,7.5556,6.7778,8.4444
14,6.5556,5.8889,6.3333,6.2222,7.4444,6.5556,4.8889,2.8889,6.0,5.8889,2.5556,6.2222,7.1111,6.0
15,1.8889,6.6667,6.4444,4.5556,5.0,2.1111,4.5556,2.4444,4.0,5.0,4.6667,3.1111,4.7778,3.3333
16,4.4444,7.1111,7.3333,5.2222,4.4444,5.5556,4.5556,2.3333,6.8889,4.0,1.6667,5.4444,6.0,6.8889
17,7.5556,6.3333,6.6667,5.5556,5.6667,7.5556,5.2222,1.2222,8.0,6.8889,1.1111,7.2222,7.0,7.1111
18,1.7778,6.2222,4.0,3.1111,2.1111,4.2222,4.8889,3.7778,4.7778,2.4444,3.1111,4.3333,3.5556,3.1111
19,6.8889,6.1111,6.3333,6.6667,5.1111,8.4444,4.5556,1.0,7.7778,6.0,2.4444,7.2222,6.2222,6.7778
20,6.6667,6.4444,7.1111,4.7778,4.8889,7.5556,4.2222,2.3333,6.5556,5.1111,2.2222,6.6667,6.6667,6.4444
21,1.0,6.3333,5.3333,3.6667,3.6667,1.4444,4.7778,6.2222,3.1111,3.3333,4.1111,2.3333,1.5556,1.7778
22,3.1111,7.3333,6.2222,5.8889,4.1111,5.8889,6.3333,1.8889,5.7778,3.7778,1.7778,5.0,5.7778,4.7778
23,7.1111,6.2222,7.2222,7.0,4.8889,7.8889,4.8889,1.1111,6.3333,4.5556,1.2222,7.5556,6.6667,7.3333
24,3.8889,5.7778,5.8889,3.5556,4.0,3.3333,4.8889,3.3333,4.2222,3.3333,3.6667,3.6667,3.2222,3.8889
25,2.0,5.4444,6.6667,2.8889,2.4444,4.3333,4.2222,5.4444,3.8889,2.0,5.2222,1.7778,6.2222,2.8889
26,8.1111,5.2222,7.3333,7.2222,4.5556,7.8889,4.8889,1.5556,7.0,4.5556,4.0,7.0,7.2222,8.0
27,2.6667,5.8889,5.0,3.6667,5.5556,2.1111,4.1111,3.6667,2.8889,4.7778,4.6667,2.5556,1.8889,2.7778
28,1.6667,5.3333,4.0,3.3333,2.1111,3.1111,3.2222,6.7778,3.3333,1.6667,4.3333,1.4444,2.3333,1.4444
29,7.0,6.3333,6.7778,5.8889,5.3333,6.6667,5.2222,1.7778,6.4444,4.8889,3.6667,4.7778,7.4444,6.8889
30,1.5556,6.1111,5.1111,3.1111,3.2222,3.3333,3.2222,6.5556,4.3333,2.4444,5.7778,2.5556,3.5556,1.8889
31,2.0,6.0,6.1111,2.7778,5.1111,2.8889,3.8889,4.1111,3.6667,5.1111,5.2222,1.8889,4.6667,3.2222
32,5.1111,5.8889,6.1111,4.6667,5.5556,6.7778,4.6667,3.0,5.2222,5.2222,3.5556,4.3333,6.6667,5.8889
33,6.5556,5.8889,6.2222,5.8889,5.3333,6.8889,4.4444,2.6667,6.8889,5.5556,2.7778,6.7778,6.4444,6.3333
34,6.0,5.8889,6.6667,6.3333,5.8889,8.1111,4.6667,2.0,6.6667,5.3333,3.7778,7.3333,6.8889,6.1111
35,6.4444,5.8889,6.0,7.1111,7.3333,7.0,3.7778,1.8889,6.8889,4.3333,2.8889,6.5556,6.7778,7.0
36,4.8889,5.4444,5.3333,5.5556,6.2222,6.8889,5.1111,3.1111,6.0,6.1111,3.7778,6.4444,6.1111,5.7778
37,5.7778,6.4444,6.2222,6.2222,6.0,7.4444,4.5556,1.7778,6.4444,5.1111,2.3333,7.0,5.8889,7.1111
38,6.3333,6.1111,5.7778,5.4444,5.1111,7.6667,5.1111,3.3333,5.8889,6.3333,3.3333,6.1111,7.2222,5.8889
39,4.4444,5.1111,5.2222,4.0,4.0,6.4444,4.3333,3.4444,5.6667,4.3333,3.0,3.2222,6.1111,5.8889
40,6.6667,5.7778,5.7778,5.2222,5.8889,7.7778,4.4444,3.0,6.5556,4.8889,3.3333,6.1111,6.7778,7.5556
41,5.5556,5.6667,5.8889,5.0,5.7778,6.8889,5.4444,3.0,6.6667,5.7778,3.1111,6.1111,7.4444,6.7778
42,4.8889,5.4444,5.8889,5.0,3.3333,6.5556,4.0,4.0,4.3333,4.0,3.2222,4.6667,5.0,4.8889
43,6.3333,5.8889,6.3333,5.3333,5.7778,7.7778,4.0,3.0,6.3333,4.8889,3.3333,6.5556,7.2222,6.7778
44,6.0,6.3333,6.3333,5.8889,5.8889,7.2222,5.4444,2.7778,6.1111,5.7778,3.3333,6.7778,5.8889,6.2222
45,1.7778,5.6667,6.6667,3.7778,3.0,3.3333,5.4444,3.8889,3.7778,2.6667,5.1111,1.3333,6.1111,3.0
46,1.0,5.3333,6.0,3.4444,3.2222,3.1111,3.8889,5.1111,4.4444,2.5556,5.1111,1.5556,3.5556,2.7778
47,2.6667,4.3333,6.1111,3.4444,3.2222,3.7778,4.3333,5.7778,3.4444,3.0,4.0,3.1111,2.7778,4.1111
48,1.6667,4.5556,4.1111,3.3333,2.3333,4.0,3.2222,5.2222,3.1111,2.2222,4.6667,2.8889,2.2222,2.0
49,5.6667,5.1111,7.0,6.2222,6.3333,5.8889,5.6667,3.1111,6.7778,6.2222,2.7778,5.4444,6.0,5.6667
50,7.1111,5.3333,6.1111,6.1111,6.0,6.8889,6.2222,3.3333,6.6667,5.5556,3.1111,7.2222,5.8889,6.1111
51,2.7778,5.1111,4.8889,3.2222,6.1111,2.7778,4.4444,6.7778,3.0,5.8889,4.0,2.5556,2.1111,2.7778
52,5.0,5.4444,6.2222,5.7778,5.8889,6.5556,4.7778,4.1111,5.7778,5.7778,2.6667,6.6667,5.5556,5.2222
53,4.0,4.8889,6.1111,6.0,4.3333,5.2222,5.1111,3.4444,5.5556,4.4444,2.0,5.6667,6.4444,4.1111
54,4.0,5.7778,5.7778,5.3333,6.4444,5.0,4.3333,4.4444,4.4444,5.2222,4.3333,4.8889,4.7778,4.6667
55,5.3333,6.6667,6.3333,5.4444,4.7778,5.4444,5.6667,3.1111,5.8889,4.4444,2.7778,5.4444,6.6667,6.4444
56,3.7778,5.6667,5.6667,5.7778,5.4444,4.2222,5.3333,3.1111,4.5556,5.3333,2.8889,6.0,4.6667,4.8889
57,6.8889,7.1111,6.8889,6.5556,6.6667,7.0,6.1111,3.3333,7.3333,5.2222,2.4444,6.2222,6.8889,6.2222
58,7.2222,6.7778,5.4444,5.2222,5.3333,7.3333,5.3333,2.6667,7.1111,3.7778,2.5556,6.0,7.2222,7.4444
59,4.0,5.1111,6.4444,5.1111,7.1111,5.3333,4.1111,5.7778,3.5556,3.5556,2.8889,4.2222,3.2222,3.1111
60,3.1111,6.3333,7.0,5.1111,5.2222,3.6667,4.4444,3.7778,5.6667,4.7778,4.1111,4.7778,5.3333,5.0
61,4.5556,4.3333,5.4444,3.4444,3.1111,5.0,3.0,3.5556,4.6667,3.4444,3.4444,6.2222,4.4444,4.6667
62,1.2222,4.0,4.8889,3.7778,3.1111,1.6667,2.1111,4.4444,1.2222,2.4444,4.2222,1.7778,1.6667,1.4444
63,3.5556,4.5556,4.6667,4.3333,2.4444,5.5556,4.3333,3.1111,4.3333,2.6667,1.8889,3.6667,3.8889,4.6667
64,4.5556,4.8889,5.1111,5.0,4.5556,6.6667,4.2222,2.8889,5.7778,3.7778,1.8889,5.4444,4.6667,5.1111
65,2.7778,6.3333,6.0,4.4444,3.6667,4.4444,4.5556,3.6667,5.2222,2.8889,2.5556,2.2222,4.8889,4.7778
66,4.0,4.6667,5.8889,5.3333,3.4444,4.1111,4.7778,3.1111,4.4444,3.0,4.1111,4.6667,4.6667,5.4444
67,1.7778,3.0,3.5556,2.4444,4.3333,2.6667,2.0,6.2222,1.4444,3.7778,3.1111,1.6667,1.8889,1.3333
68,4.1111,5.1111,5.4444,4.7778,4.1111,5.6667,4.6667,3.2222,5.7778,3.4444,2.4444,3.7778,5.5556,5.5556
69,6.1111,5.5556,5.5556,5.0,5.5556,6.7778,4.2222,4.4444,6.5556,5.8889,4.5556,6.1111,6.3333,6.0
70,3.0,4.7778,4.4444,4.3333,3.3333,2.2222,3.0,2.2222,2.1111,4.0,2.7778,4.6667,2.6667,5.5556
71,3.6667,4.7778,5.4444,3.8889,4.4444,5.3333,3.5556,3.0,3.6667,3.3333,2.6667,4.1111,4.0,3.2222
72,4.0,4.1111,5.0,3.5556,3.1111,5.2222,3.2222,3.2222,4.4444,2.8889,3.1111,3.6667,4.5556,4.1111
73,3.2222,5.7778,5.8889,4.0,4.0,4.6667,3.8889,6.4444,5.1111,4.5556,4.4444,2.5556,3.5556,2.2222
74,6.1111,6.2222,6.1111,4.8889,6.3333,4.6667,6.2222,2.0,3.8889,5.0,2.8889,5.1111,5.3333,7.3333
75,6.6667,5.2222,6.1111,5.2222,6.3333,6.4444,5.5556,2.3333,5.6667,6.3333,2.8889,5.6667,5.6667,6.1111
76,4.6667,5.4444,5.4444,5.0,5.3333,5.7778,5.2222,2.4444,5.3333,5.1111,4.5556,5.1111,5.4444,5.2222
77,3.2222,4.4444,5.2222,3.4444,5.5556,3.4444,4.5556,5.7778,3.4444,3.7778,5.3333,3.4444,3.4444,4.0
78,5.7778,5.4444,6.4444,5.5556,5.1111,7.0,5.1111,2.7778,6.4444,5.3333,3.0,5.7778,6.1111,7.2222
79,2.6667,4.1111,5.4444,3.1111,3.3333,3.4444,4.5556,6.5556,4.4444,2.7778,3.3333,2.5556,3.4444,2.1111
80,4.8889,5.3333,5.6667,4.2222,4.8889,4.6667,5.2222,2.2222,5.1111,4.7778,3.4444,6.2222,4.7778,5.3333
81,1.7778,6.3333,6.2222,3.6667,5.6667,3.7778,3.6667,7.6667,3.4444,4.5556,5.5556,2.3333,3.6667,1.4444
82,7.0,5.7778,6.2222,5.0,7.0,5.6667,5.1111,2.4444,5.3333,6.1111,3.1111,4.5556,6.5556,6.1111
83,7.8889,4.8889,6.4444,6.4444,6.7778,7.8889,4.3333,1.4444,6.3333,6.0,2.4444,6.7778,6.4444,7.7778
84,6.1111,5.5556,6.8889,6.1111,4.8889,7.3333,4.6667,2.0,6.2222,5.4444,3.3333,7.0,5.8889,6.2222
85,5.4444,5.6667,6.0,5.0,5.1111,5.8889,5.4444,3.1111,6.1111,4.2222,3.8889,4.8889,7.1111,6.0
86,5.8889,5.5556,6.2222,5.6667,6.3333,6.2222,5.6667,2.6667,5.8889,4.8889,3.1111,4.8889,5.8889,5.5556
87,8.0,5.3333,7.1111,5.8889,6.7778,7.7778,5.0,3.3333,6.7778,5.7778,3.7778,6.8889,7.2222,7.0
88,6.4444,5.5556,6.0,5.5556,5.6667,6.1111,4.6667,3.1111,5.7778,5.3333,2.6667,5.8889,6.0,6.1111
89,1.6667,5.4444,3.6667,3.4444,4.5556,2.3333,4.2222,5.5556,3.1111,3.1111,5.2222,2.2222,2.3333,2.7778
90,7.5556,5.5556,6.8889,6.3333,4.7778,7.5556,5.0,2.6667,6.4444,5.7778,2.6667,6.3333,6.8889,7.3333
91,5.5556,5.5556,5.1111,6.1111,4.2222,7.1111,5.2222,3.1111,6.1111,4.7778,2.6667,6.6667,6.7778,6.1111
92,6.6667,5.7778,5.3333,5.5556,4.5556,6.8889,4.6667,3.2222,5.2222,4.6667,3.0,5.7778,5.6667,6.0
93,5.4444,6.2222,5.3333,4.6667,5.0,5.5556,4.8889,3.0,5.3333,4.1111,3.6667,4.7778,6.1111,5.5556
94,7.5556,4.8889,5.8889,5.5556,6.6667,6.3333,4.5556,2.6667,5.6667,4.4444,2.8889,6.2222,6.4444,6.7778
95,2.1111,5.7778,6.1111,4.6667,5.4444,3.6667,4.6667,6.3333,2.3333,2.5556,5.0,2.7778,2.8889,2.0
96,2.7778,6.6667,6.3333,3.5556,4.0,3.1111,4.5556,5.0,3.5556,3.3333,5.5556,2.4444,4.1111,2.6667
97,1.4444,6.1111,7.1111,4.8889,4.6667,5.1111,5.1111,3.3333,4.7778,3.0,4.5556,2.0,6.7778,4.0
98,6.6667,5.3333,7.0,6.2222,6.3333,7.5556,5.0,1.0,6.6667,5.6667,2.6667,6.7778,7.4444,7.7778
99,3.5556,6.0,6.2222,6.1111,4.7778,3.7778,5.3333,1.8889,4.5556,4.8889,4.6667,4.4444,6.5556,5.5556
100,7.1111,7.1111,7.5556,6.1111,6.7778,6.7778,5.7778,1.1111,7.4444,7.1111,3.1111,5.8889,7.6667,8.0
101,6.3333,6.8889,7.3333,6.4444,6.4444,7.6667,4.7778,1.2222,7.2222,5.5556,2.6667,7.0,7.0,8.0
102,4.6667,5.8889,7.2222,6.5556,5.8889,6.2222,5.0,1.4444,5.7778,6.4444,2.1111,6.0,6.3333,6.7778
103,4.4444,4.5556,5.5556,4.8889,5.1111,7.2222,4.8889,1.3333,5.5556,5.5556,3.0,6.3333,5.5556,5.4444
104,1.5556,4.5556,7.0,5.3333,5.4444,2.8889,3.8889,3.1111,3.5556,4.4444,3.4444,2.2222,2.3333,1.7778
105,1.6667,5.4444,6.1111,4.5556,4.4444,3.1111,5.6667,1.6667,5.0,4.7778,4.3333,3.4444,3.6667,4.1111
106,2.8889,4.6667,7.0,6.5556,4.3333,3.8889,5.2222,2.7778,3.7778,5.6667,4.2222,4.8889,4.4444,3.7778
107,1.8889,5.7778,7.3333,4.3333,5.6667,1.8889,5.3333,5.0,4.5556,4.8889,5.2222,1.6667,4.8889,1.2222
108,5.2222,6.1111,6.6667,5.1111,5.4444,5.0,5.3333,1.3333,6.1111,5.3333,3.2222,5.4444,5.4444,6.0
109,1.8889,6.3333,6.6667,4.0,4.2222,3.2222,4.2222,4.4444,4.2222,4.7778,4.8889,3.4444,6.1111,2.4444
110,6.8889,5.7778,4.7778,6.0,5.5556,6.1111,4.7778,2.0,5.6667,5.8889,5.1111,6.3333,5.6667,7.0
111,6.5556,6.1111,5.4444,6.4444,6.4444,7.1111,4.6667,2.0,6.2222,6.0,3.7778,6.6667,6.3333,6.7778
112,5.3333,6.7778,5.8889,5.8889,5.5556,6.4444,6.0,3.6667,5.2222,5.2222,5.0,5.5556,5.5556,6.1111
113,6.7778,5.5556,5.8889,6.3333,5.8889,7.5556,3.7778,2.4444,3.4444,6.8889,4.3333,6.1111,6.0,7.2222
114,5.2222,5.7778,4.8889,5.4444,5.2222,5.5556,5.2222,2.1111,5.2222,5.6667,3.6667,5.1111,5.2222,5.6667
115,3.4444,6.0,5.4444,4.2222,3.4444,5.0,5.2222,4.1111,5.1111,3.3333,3.8889,3.4444,6.0,5.3333
116,6.0,5.7778,4.8889,5.5556,6.5556,7.0,4.8889,2.1111,6.1111,5.8889,4.1111,5.8889,6.0,6.8889
117,4.2222,4.0,3.4444,4.3333,4.4444,5.5556,4.3333,2.8889,3.5556,5.0,5.2222,4.1111,4.3333,4.6667
118,3.8889,5.4444,4.8889,4.3333,4.7778,4.2222,4.4444,2.7778,4.8889,3.6667,4.2222,4.5556,4.1111,4.4444
119,2.7778,5.3333,5.1111,5.4444,4.0,4.6667,5.4444,4.3333,4.3333,3.2222,4.4444,4.6667,4.7778,3.4444
120,5.4444,4.3333,5.5556,4.7778,5.8889,6.3333,5.0,2.8889,5.0,5.6667,4.4444,5.7778,6.6667,5.7778
121,4.5556,5.3333,5.1111,4.4444,5.0,6.0,4.1111,3.7778,5.0,4.5556,2.1111,3.5556,6.2222,5.8889
122,2.6667,5.5556,6.2222,4.6667,3.3333,1.6667,3.8889,2.8889,2.8889,4.5556,2.6667,1.8889,2.1111,3.7778
123,7.7778,5.2222,6.4444,6.2222,5.7778,7.6667,4.0,2.6667,6.2222,6.3333,2.1111,6.8889,6.3333,7.6667
124,1.7778,3.7778,5.6667,4.1111,3.5556,3.0,3.0,3.5556,2.4444,3.6667,3.3333,1.8889,2.3333,2.8889
125,7.2222,5.8889,6.1111,6.1111,4.4444,8.0,3.5556,1.1111,7.4444,6.1111,2.0,7.3333,7.0,7.0
126,7.7778,6.3333,6.2222,6.8889,6.0,8.0,4.2222,1.5556,7.1111,6.0,1.3333,8.0,8.1111,8.3333
127,1.2222,6.5556,6.8889,4.2222,3.4444,1.0,2.7778,5.0,1.4444,4.8889,3.4444,1.2222,2.1111,2.1111
128,1.3333,5.7778,6.1111,3.6667,3.2222,1.6667,3.8889,4.0,3.4444,3.6667,3.3333,1.0,1.4444,2.6667
129,1.6667,5.8889,5.8889,4.3333,3.1111,1.1111,3.3333,4.0,4.6667,1.7778,2.7778,1.3333,2.0,1.6667
130,6.0,6.3333,5.8889,5.7778,4.2222,7.2222,3.0,2.7778,5.6667,4.5556,3.1111,5.8889,6.1111,5.8889
131,4.2222,4.5556,5.0,5.0,3.8889,7.0,3.8889,2.4444,6.1111,4.0,2.1111,6.3333,5.4444,5.7778
132,1.3333,4.8889,4.8889,4.2222,3.7778,2.2222,3.5556,3.5556,3.1111,3.5556,4.5556,1.8889,1.7778,1.8889
133,2.0,5.1111,3.6667,3.1111,2.4444,2.5556,3.4444,4.5556,3.2222,3.8889,4.7778,3.1111,2.1111,1.6667
134,6.3333,5.8889,5.7778,4.4444,3.6667,6.7778,5.1111,4.1111,5.7778,5.2222,4.8889,6.3333,5.5556,4.3333
135,1.6667,4.2222,2.6667,1.4444,4.3333,1.5556,3.8889,7.7778,2.3333,2.1111,4.2222,1.5556,1.5556,1.6667
136,2.0,3.6667,5.0,2.8889,4.4444,3.1111,2.7778,4.3333,2.1111,3.4444,5.1111,2.6667,3.1111,2.2222
137,1.5556,3.2222,4.1111,2.6667,4.6667,1.6667,3.2222,5.6667,2.3333,3.6667,5.0,2.6667,1.8889,2.2222
138,4.3333,4.8889,3.2222,4.3333,4.4444,6.1111,4.7778,3.6667,5.7778,4.5556,3.4444,5.3333,5.0,4.7778
139,5.3333,5.7778,5.3333,5.4444,6.0,7.1111,5.1111,3.3333,5.3333,4.6667,3.5556,5.4444,6.7778,4.6667
140,6.4444,7.3333,4.5556,5.7778,5.7778,5.6667,4.3333,2.4444,5.3333,4.6667,3.5556,5.3333,5.1111,6.0
141,1.4444,3.3333,4.3333,2.7778,3.7778,4.2222,2.7778,6.4444,1.7778,3.0,4.3333,2.4444,1.5556,1.6667
142,6.4444,4.8889,4.3333,5.4444,6.1111,7.1111,4.3333,2.4444,6.3333,5.4444,3.7778,7.0,4.8889,6.2222
143,2.6667,4.8889,6.2222,4.8889,5.0,3.4444,3.7778,3.1111,3.8889,4.2222,4.5556,3.0,3.8889,4.2222
144,6.1111,4.0,4.4444,4.2222,4.0,7.0,4.5556,1.8889,5.8889,4.5556,3.4444,6.1111,5.4444,5.0
145,3.1111,7.0,6.1111,5.2222,5.0,3.5556,4.5556,2.8889,4.4444,4.3333,3.8889,2.2222,5.4444,4.0
146,6.6667,7.5556,7.7778,6.3333,6.5556,6.3333,5.1111,2.4444,6.1111,5.2222,3.8889,4.6667,6.3333,7.2222
147,6.5556,6.2222,7.0,5.5556,4.8889,6.6667,5.6667,2.1111,6.1111,4.1111,4.1111,5.5556,6.2222,6.5556
148,5.1111,7.1111,7.1111,4.7778,4.8889,4.4444,4.8889,2.8889,4.7778,4.8889,4.4444,4.1111,6.1111,5.2222
149,7.7778,6.3333,7.4444,7.0,6.1111,7.5556,4.2222,1.6667,6.4444,5.5556,3.1111,7.2222,6.3333,8.3333
150,7.0,5.8889,6.4444,5.2222,7.0,6.8889,3.6667,3.1111,5.0,5.3333,4.0,5.6667,6.2222,5.8889
151,7.6667,5.8889,6.1111,7.0,6.5556,7.1111,4.8889,2.2222,6.2222,4.8889,3.4444,6.7778,7.0,8.0
152,7.4444,7.1111,7.2222,7.4444,5.0,7.5556,4.6667,1.8889,7.1111,5.2222,2.7778,6.5556,7.2222,8.3333
153,1.2222,5.1111,4.8889,3.6667,4.4444,2.4444,4.8889,5.0,2.2222,3.7778,4.6667,1.6667,4.4444,1.7778
154,1.2222,5.0,5.1111,2.4444,4.0,1.3333,3.5556,5.8889,2.2222,2.8889,4.6667,1.3333,1.2222,1.2222
155,4.0,5.0,6.0,4.8889,4.4444,5.3333,4.5556,2.6667,5.0,4.0,2.7778,3.6667,6.7778,4.4444
156,4.7778,6.7778,6.4444,5.0,4.5556,5.4444,5.4444,2.3333,5.8889,4.2222,3.5556,3.5556,6.2222,5.2222
157,4.5556,6.8889,7.4444,4.0,4.8889,3.4444,5.3333,4.0,5.8889,4.7778,4.4444,5.1111,3.7778,5.2222
158,1.4444,5.4444,6.3333,4.1111,5.0,1.7778,4.3333,4.5556,2.7778,3.7778,4.2222,2.6667,1.8889,1.8889
159,3.0,5.4444,6.3333,4.0,4.1111,3.7778,4.7778,2.6667,4.4444,4.8889,2.7778,3.8889,4.8889,3.4444
160,4.0,5.8889,7.3333,4.3333,5.3333,4.1111,5.2222,2.7778,4.6667,4.3333,3.4444,5.6667,4.8889,4.6667
161,7.3333,5.8889,6.4444,5.8889,6.3333,7.4444,5.1111,2.3333,7.2222,5.8889,3.5556,7.2222,7.2222,8.1111
162,5.7778,7.5556,6.4444,6.0,4.1111,7.0,5.2222,3.5556,6.4444,5.3333,4.6667,7.1111,7.1111,7.1111
163,7.3333,6.4444,7.4444,4.7778,6.0,7.3333,5.3333,2.2222,7.2222,5.3333,3.5556,6.7778,7.3333,8.1111
164,6.6667,5.4444,6.7778,6.6667,6.5556,8.1111,5.0,1.2222,7.7778,6.3333,2.2222,7.4444,6.8889,7.4444
165,7.3333,6.1111,7.2222,6.3333,6.4444,7.6667,4.5556,2.4444,8.2222,6.5556,3.3333,6.1111,7.3333,8.3333
166,1.7778,6.2222,7.4444,3.3333,5.4444,2.2222,4.4444,4.8889,3.6667,4.7778,3.8889,2.4444,1.7778,1.1111
167,7.3333,6.4444,6.8889,6.3333,5.0,7.6667,5.5556,2.7778,7.1111,5.1111,2.7778,6.8889,7.8889,8.1111
168,5.7778,5.0,5.1111,5.4444,5.7778,5.8889,5.5556,2.4444,6.2222,5.8889,3.2222,7.3333,5.8889,6.2222
169,2.5556,5.5556,6.3333,5.0,5.6667,6.3333,5.2222,3.8889,5.2222,4.0,3.0,4.6667,5.2222,4.1111
170,2.4444,7.7778,7.7778,4.7778,6.4444,2.5556,4.3333,3.4444,4.4444,4.5556,3.7778,2.8889,4.6667,3.4444
171,4.4444,6.1111,6.8889,6.2222,5.0,6.4444,4.7778,2.0,5.4444,4.4444,3.5556,5.3333,6.2222,6.2222
172,7.6667,5.7778,5.8889,5.8889,5.8889,8.2222,3.3333,2.0,6.6667,4.6667,2.6667,7.3333,7.5556,7.6667
173,5.8889,5.8889,7.2222,4.6667,5.4444,7.6667,5.7778,3.2222,5.5556,5.8889,2.6667,6.5556,5.8889,6.5556
174,4.4444,5.5556,5.7778,5.3333,4.1111,5.7778,5.3333,4.0,5.6667,5.3333,3.5556,4.4444,6.3333,5.2222
175,5.3333,6.5556,6.7778,5.0,4.5556,6.7778,5.4444,3.1111,5.6667,4.2222,2.8889,5.8889,5.5556,5.7778
176,7.5556,7.7778,8.2222,6.2222,6.3333,7.3333,6.3333,2.7778,6.4444,6.2222,2.1111,6.8889,7.1111,7.3333
177,3.6667,6.3333,7.2222,5.0,6.2222,3.0,5.5556,3.1111,4.8889,4.0,2.6667,5.4444,5.1111,6.4444
178,6.6667,4.3333,5.0,5.3333,4.3333,7.2222,5.1111,2.7778,5.5556,5.1111,2.5556,6.7778,6.4444,6.3333
179,3.5556,4.0,5.8889,4.4444,4.8889,4.6667,2.8889,3.4444,4.8889,4.6667,4.5556,5.5556,3.3333,3.8889
180,6.4444,6.3333,7.1111,5.5556,4.6667,5.8889,5.6667,3.7778,5.5556,4.7778,2.6667,6.1111,6.5556,6.3333
181,1.1111,5.3333,5.8889,4.1111,6.0,1.1111,2.4444,5.7778,1.7778,3.3333,5.7778,2.2222,1.0,1.0
182,7.2222,7.5556,7.6667,6.6667,4.7778,7.7778,6.1111,1.8889,6.2222,5.2222,2.2222,6.1111,8.1111,7.5556
183,5.1111,6.7778,6.5556,5.6667,4.7778,6.3333,5.0,3.1111,6.5556,5.1111,3.5556,4.5556,8.2222,6.4444
184,6.8889,6.7778,7.3333,7.2222,7.6667,8.4444,4.5556,1.7778,8.3333,7.5556,2.2222,7.8889,8.4444,8.7778
185,5.4444,6.7778,7.6667,6.1111,5.6667,6.8889,4.7778,3.1111,6.2222,4.1111,2.4444,4.8889,6.8889,6.6667
186,1.0,3.6667,3.8889,2.6667,1.5556,1.4444,2.8889,6.8889,1.3333,1.1111,5.5556,1.2222,1.6667,1.3333
187,1.0,5.0,3.4444,2.8889,1.5556,1.2222,2.5556,5.8889,1.6667,1.3333,6.0,2.3333,1.2222,1.0
188,6.4444,5.3333,6.8889,6.5556,6.5556,7.2222,5.0,2.5556,5.6667,7.1111,3.8889,5.8889,6.0,7.4444
189,1.8889,7.4444,7.0,5.1111,2.7778,3.1111,6.4444,3.4444,4.2222,3.2222,4.3333,2.7778,4.2222,2.2222
190,2.0,6.2222,6.6667,3.1111,2.1111,1.6667,3.2222,4.8889,3.5556,2.4444,5.2222,1.0,4.0,1.7778
191,6.4444,6.0,6.7778,6.8889,4.4444,7.2222,6.0,3.0,7.4444,5.7778,4.2222,7.1111,8.1111,6.7778
192,8.3333,6.8889,7.1111,7.1111,6.0,8.0,4.8889,2.3333,7.5556,6.4444,2.3333,7.7778,7.8889,8.2222
193,5.7778,5.2222,5.1111,4.5556,6.0,6.3333,4.7778,2.4444,5.0,5.4444,3.6667,6.3333,5.7778,6.6667
194,6.8889,5.1111,5.5556,6.0,6.2222,6.7778,5.6667,2.3333,6.6667,5.4444,3.4444,7.0,6.7778,6.5556
195,1.6667,5.5556,6.0,3.6667,5.4444,1.8889,4.4444,4.8889,2.4444,4.3333,4.7778,2.3333,2.0,1.3333
196,6.2222,5.8889,6.5556,6.5556,4.4444,6.0,5.5556,2.3333,6.0,5.1111,3.0,6.7778,6.7778,7.7778
197,1.8889,6.6667,6.6667,5.8889,5.1111,1.5556,5.1111,4.8889,1.7778,5.0,5.5556,1.6667,1.7778,1.2222
198,7.1111,5.1111,5.4444,6.0,4.8889,6.7778,5.0,2.3333,6.0,4.8889,3.0,6.4444,6.2222,7.2222
